fingerprint,severity,confidence,review_state,review_note,masvs,masvs_mapping,category,file,line,reason,evidence
asx-07f7d34d52b38eb292f406f3,Medium,70,confirmed,Confirmed by static manifest inspection: the activity has an intent filter and no protecting permission.,MASVS-PLATFORM,inferred,Activity (jakhar.aseem.diva.APICreds2Activity) is not Protected. An intent-filter exists.,AndroidManifest.xml,1,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. The presence of intent-filter indicates that the Activity is explicitly exported.,"[""Activity"", ""jakhar.aseem.diva.APICreds2Activity""]"
asx-27a4d5d5223848e004762aa6,High,70,needs_validation,,,unmapped,"App can be installed on a vulnerable unpatched Android version 4.0.3-4.0.4, [minSdk=15]",AndroidManifest.xml,1,"This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.","[""4.0.3-4.0.4"", ""15""]"
asx-2d804c9d202172797209bcd7,Medium,70,confirmed,Confirmed by static manifest inspection: the content provider is exported without a protecting permission.,MASVS-PLATFORM,inferred,Content Provider (jakhar.aseem.diva.NotesProvider) is not Protected. [android:exported=true],AndroidManifest.xml,1,A Content Provider is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,"[""Content Provider"", ""jakhar.aseem.diva.NotesProvider""]"
asx-3f9a16fbb8f64bef6e3db94d,Medium,70,confirmed,Confirmed by static manifest inspection: android:allowBackup is enabled.,MASVS-RESILIENCE,inferred,Application Data can be Backed up [android:allowBackup=true],AndroidManifest.xml,1,This flag allows anyone to backup your application data via adb. It allows users who have enabled USB debugging to copy application data off of the device.,Application Data can be Backed up [android:allowBackup=true]
asx-64ba39f2472bcf32d54e9be9,Medium,70,confirmed,Confirmed by static manifest inspection: the activity has an intent filter and no protecting permission.,MASVS-PLATFORM,inferred,Activity (jakhar.aseem.diva.APICredsActivity) is not Protected. An intent-filter exists.,AndroidManifest.xml,1,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. The presence of intent-filter indicates that the Activity is explicitly exported.,"[""Activity"", ""jakhar.aseem.diva.APICredsActivity""]"
asx-ee61071f957448179b570eeb,High,70,confirmed,Confirmed from the packaged manifest: the analyzed debug build is debuggable.,MASVS-RESILIENCE,inferred,Debug Enabled For App [android:debuggable=true],AndroidManifest.xml,1,Debugging was enabled on the app which makes it easier for reverse engineers to hook a debugger to it. This allows dumping a stack trace and accessing debugging helper classes.,Debug Enabled For App [android:debuggable=true]
asx-37081489feccd3f82850c665,Info,70,needs_validation,,MASVS-STORAGE,inferred,The App logs information. Sensitive information should never be logged.,jakhar/aseem/diva/AccessControl1Activity.java,26,The App logs information. Sensitive information should never be logged.,The App logs information. Sensitive information should never be logged.
asx-7c7dceff32d87978b2950dad,Info,70,needs_validation,,MASVS-STORAGE,inferred,The App logs information. Sensitive information should never be logged.,jakhar/aseem/diva/AccessControl2Activity.java,30,The App logs information. Sensitive information should never be logged.,The App logs information. Sensitive information should never be logged.
asx-faf068fb77a2420fd04d6cbb,High,70,needs_validation,,MASVS-RESILIENCE,inferred,Debug configuration enabled. Production builds must not be debuggable.,jakhar/aseem/diva/BuildConfig.java,4,Debug configuration enabled. Production builds must not be debuggable.,Debug configuration enabled. Production builds must not be debuggable.
asx-dbdbd0e1c4443239db97be96,Medium,70,needs_validation,,MASVS-CODE,inferred,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,jakhar/aseem/diva/InsecureDataStorage2Activity.java,3,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.
asx-8fd625ed885eb6e9b0a91792,Info,70,needs_validation,,MASVS-STORAGE,inferred,The App logs information. Sensitive information should never be logged.,jakhar/aseem/diva/InsecureDataStorage2Activity.java,23,The App logs information. Sensitive information should never be logged.,The App logs information. Sensitive information should never be logged.
asx-0931e3514033de63d102c5b0,Medium,70,needs_validation,,,unmapped,App creates temp file. Sensitive information should never be written into a temp file.,jakhar/aseem/diva/InsecureDataStorage3Activity.java,26,App creates temp file. Sensitive information should never be written into a temp file.,App creates temp file. Sensitive information should never be written into a temp file.
asx-48409ea0a9c40c577aa42d51,Info,70,needs_validation,,MASVS-STORAGE,inferred,The App logs information. Sensitive information should never be logged.,jakhar/aseem/diva/InsecureDataStorage3Activity.java,35,The App logs information. Sensitive information should never be logged.,The App logs information. Sensitive information should never be logged.
asx-d35e1b96478a0e842ebb350e,Medium,70,needs_validation,,MASVS-STORAGE,inferred,App can read/write to External Storage. Any App can read data written to External Storage.,jakhar/aseem/diva/InsecureDataStorage4Activity.java,25,App can read/write to External Storage. Any App can read data written to External Storage.,App can read/write to External Storage. Any App can read data written to External Storage.
asx-e08963f5d88cfba7351143b1,Info,70,needs_validation,,MASVS-STORAGE,inferred,The App logs information. Sensitive information should never be logged.,jakhar/aseem/diva/InsecureDataStorage4Activity.java,36,The App logs information. Sensitive information should never be logged.,The App logs information. Sensitive information should never be logged.
asx-6a41233f616841c6056ac0b4,Info,70,needs_validation,,MASVS-STORAGE,inferred,The App logs information. Sensitive information should never be logged.,jakhar/aseem/diva/LogActivity.java,24,The App logs information. Sensitive information should never be logged.,The App logs information. Sensitive information should never be logged.
asx-d3123db19e4ac1973ff68edb,Medium,70,needs_validation,,MASVS-CODE,inferred,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,jakhar/aseem/diva/NotesProvider.java,10,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.
